V1	V2.x	V3	V4	V5	grp	DUP	len
NC_021684.1	Gnomon	exon	199596	199996	122	NO	400
NC_021684.1	Gnomon	intron	199997	203292	123	NO	3295
NC_021684.1	Gnomon	exon	203293	203721	124	NO	428
NC_021684.1	Gnomon	intron	203722	203742	125	NO	20
NC_021684.1	Gnomon	exon	203743	203868	126	NO	125
NC_021696.1	Gnomon	non_coding	203869	204608	NA	NA	739
NC_021684.1	Gnomon	exon	204609	204639	128	NO	30
NC_021684.1	Gnomon	intron	204640	219129	129	NO	14489
NC_021684.1	Gnomon	exon	219130	219318	130	NO	188
NC_021684.1	Gnomon	intron	219319	221599	131	NO	2280
NC_021684.1	Gnomon	exon	221600	221747	132	NO	147
NC_021684.1	Gnomon	intron	221748	225390	133	NO	3642
NC_021684.1	Gnomon	exon	225391	225558	134	NO	167
NC_021684.1	Gnomon	intron	225559	232146	135	NO	6587
NC_021684.1	Gnomon	exon	232147	233113	136	NO	966
NC_021696.1	Gnomon	non_coding	233114	233165	NA	NA	51
NC_021684.1	Gnomon	exon	233166	233764	138	NO	598
NC_021684.1	Gnomon	intron	233765	235527	139	NO	1762
NC_021684.1	Gnomon	exon	235528	235678	140	NO	150
NC_021684.1	Gnomon	intron	235679	241986	141	NO	6307
NC_021684.1	Gnomon	exon	241987	242129	142	NO	142
NC_021684.1	Gnomon	intron	242130	243978	143	NO	1848
NC_021684.1	Gnomon	exon	243979	244132	144	NO	153
NC_021684.1	Gnomon	intron	244133	247516	145	NO	3383
NC_021684.1	Gnomon	exon	247517	247576	146	NO	59
NC_021684.1	Gnomon	intron	247577	249103	147	NO	1526
NC_021684.1	Gnomon	exon	249104	249175	148	NO	71
NC_021684.1	Gnomon	intron	249176	249878	149	NO	702
NC_021684.1	Gnomon	exon	249879	251056	150	NO	1177
NC_021696.1	Gnomon	non_coding	251057	259837	NA	NA	8780
NC_021684.1	Gnomon	exon	259838	260689	152	NO	851
NC_021684.1	Gnomon	intron	260690	262549	153	NO	1859
NC_021684.1	Gnomon	exon	262550	262711	154	NO	161
NC_021684.1	Gnomon	intron	262712	266564	155	NO	3852
NC_021684.1	Gnomon	exon	266565	266891	156	NO	326
NC_021696.1	Gnomon	non_coding	266892	313619	NA	NA	46727
NC_021684.1	Gnomon	exon	313620	314108	158	NO	488
NC_021684.1	Gnomon	intron	314109	351640	159	NO	37531
NC_021684.1	Gnomon	exon	351641	351813	160	NO	172
NC_021684.1	Gnomon	intron	351814	352781	161	NO	967
NC_021684.1	Gnomon	exon	352782	353002	162	NO	220
NC_021684.1	Gnomon	intron	353003	357850	163	NO	4847
NC_021684.1	Gnomon	exon	357851	358008	164	NO	157
NC_021684.1	Gnomon	intron	358009	365033	165	NO	7024
NC_021684.1	Gnomon	exon	365034	365122	166	NO	88
NC_021684.1	Gnomon	intron	365123	365906	167	NO	783
NC_021684.1	Gnomon	exon	365907	366126	168	NO	219
NC_021684.1	Gnomon	intron	366127	368591	169	NO	2464
NC_021684.1	Gnomon	exon	368592	368880	170	NO	288
NC_021684.1	Gnomon	intron	368881	371438	171	NO	2557
NC_021684.1	Gnomon	exon	371439	371656	172	NO	217
NC_021684.1	Gnomon	intron	371657	372204	173	NO	547
NC_021684.1	Gnomon	exon	372205	372345	174	NO	140
NC_021684.1	Gnomon	intron	372346	374548	175	NO	2202
NC_021684.1	Gnomon	exon	374549	374740	176	NO	191
NC_021684.1	Gnomon	intron	374741	375759	177	NO	1018
NC_021684.1	Gnomon	exon	375760	376059	178	NO	299
NC_021684.1	Gnomon	intron	376060	378657	179	NO	2597
NC_021684.1	Gnomon	exon	378658	378849	180	NO	191
NC_021684.1	Gnomon	intron	378850	379872	181	NO	1022
NC_021684.1	Gnomon	exon	379873	380172	182	NO	299
NC_021684.1	Gnomon	intron	380173	383519	183	NO	3346
NC_021684.1	Gnomon	exon	383520	383523	184	NO	3
NC_021684.1	Gnomon	intron	383524	384983	185	NO	1459
NC_021684.1	Gnomon	exon	384984	385381	186	NO	397
NC_021684.1	Gnomon	intron	385382	388170	187	NO	2788
NC_021684.1	Gnomon	exon	388171	388220	188	NO	49
NC_021684.1	Gnomon	intron	388221	388816	189	NO	595
NC_021684.1	Gnomon	exon	388817	388982	190	NO	165
NC_021684.1	Gnomon	intron	388983	389063	191	NO	80
NC_021684.1	Gnomon	exon	389064	389180	192	NO	116
NC_021684.1	Gnomon	intron	389181	389332	193	NO	151
NC_021684.1	Gnomon	exon	389333	389500	194	NO	167
NC_021684.1	Gnomon	intron	389501	389711	195	NO	210
NC_021684.1	Gnomon	exon	389712	389757	196	NO	45
NC_021684.1	Gnomon	intron	389758	389933	197	NO	175
NC_021684.1	Gnomon	exon	389934	390050	198	NO	116
NC_021684.1	Gnomon	intron	390051	390458	199	NO	407
NC_021684.1	Gnomon	exon	390459	390607	200	NO	148
NC_021684.1	Gnomon	intron	390608	391663	201	NO	1055
NC_021684.1	Gnomon	exon	391664	392026	202	NO	362
NC_021684.1	Gnomon	intron	392027	394309	203	NO	2282
NC_021684.1	Gnomon	exon	394310	394361	204	NO	51
NC_021684.1	Gnomon	intron	394362	394806	205	NO	444
NC_021684.1	Gnomon	exon	394807	394862	206	NO	55
NC_021684.1	Gnomon	intron	394863	394935	207	NO	72
NC_021684.1	Gnomon	exon	394936	394954	208	NO	18
NC_021684.1	Gnomon	intron	394955	395060	209	NO	105
NC_021684.1	Gnomon	exon	395061	395454	210	NO	393
NC_021684.1	Gnomon	intron	395455	395494	211	NO	39
NC_021684.1	Gnomon	exon	395495	395761	212	NO	266
NC_021684.1	Gnomon	intron	395762	396228	213	NO	466
NC_021684.1	Gnomon	exon	396229	396443	214	NO	214
NC_021684.1	Gnomon	intron	396444	398001	215	NO	1557
NC_021684.1	Gnomon	exon	398002	398217	216	NO	215
NC_021684.1	Gnomon	intron	398218	399170	217	NO	952
NC_021684.1	Gnomon	exon	399171	399269	218	NO	98
NC_021684.1	Gnomon	intron	399270	404618	219	NO	5348
NC_021684.1	Gnomon	exon	404619	404663	220	NO	44
NC_021684.1	Gnomon	intron	404664	407145	221	NO	2481
NC_021684.1	Gnomon	exon	407146	407399	222	NO	253
NC_021684.1	Gnomon	intron	407400	414909	223	NO	7509
NC_021684.1	Gnomon	exon	414910	415091	224	NO	181
NC_021684.1	Gnomon	intron	415092	422853	225	NO	7761
NC_021684.1	Gnomon	exon	422854	422926	226	NO	72
NC_021684.1	Gnomon	intron	422927	424280	227	NO	1353
NC_021684.1	Gnomon	exon	424281	424299	228	NO	18
NC_021684.1	Gnomon	intron	424300	424839	229	NO	539
NC_021684.1	Gnomon	exon	424840	424886	230	NO	46
NC_021696.1	Gnomon	non_coding	424887	449388	NA	NA	24501
NC_021684.1	Gnomon	exon	449389	449601	232	NO	212
NC_021684.1	Gnomon	intron	449602	450211	233	NO	609
NC_021684.1	Gnomon	exon	450212	450379	234	NO	167
NC_021684.1	Gnomon	intron	450380	453017	235	NO	2637
NC_021684.1	Gnomon	exon	453018	453103	236	NO	85
NC_021696.1	Gnomon	non_coding	453104	510585	NA	NA	57481
NC_021684.1	Gnomon	exon	510586	510753	238	NO	167
NC_021684.1	Gnomon	intron	510754	537107	239	NO	26353
NC_021684.1	Gnomon	exon	537108	537193	240	NO	85
NC_021684.1	Gnomon	intron	537194	543470	241	NO	6276
NC_021684.1	Gnomon	exon	543471	543585	242	NO	114
NC_021684.1	Gnomon	intron	543586	545945	243	NO	2359
NC_021684.1	Gnomon	exon	545946	546106	244	NO	160
NC_021684.1	Gnomon	intron	546107	546601	245	NO	494
NC_021684.1	Gnomon	exon	546602	546743	246	NO	141
NC_021684.1	Gnomon	intron	546744	549100	247	NO	2356
NC_021684.1	Gnomon	exon	549101	549287	248	NO	186
NC_021684.1	Gnomon	intron	549288	549840	249	NO	552
NC_021684.1	Gnomon	exon	549841	550003	250	NO	162
NC_021684.1	Gnomon	intron	550004	550773	251	NO	769
NC_021684.1	Gnomon	exon	550774	550861	252	NO	87
NC_021684.1	Gnomon	intron	550862	551386	253	NO	524
NC_021684.1	Gnomon	exon	551387	551493	254	NO	106
NC_021684.1	Gnomon	intron	551494	551782	255	NO	288
NC_021684.1	Gnomon	exon	551783	551874	256	NO	91
NC_021684.1	Gnomon	intron	551875	552260	257	NO	385
NC_021684.1	Gnomon	exon	552261	552350	258	NO	89
NC_021684.1	Gnomon	intron	552351	553097	259	NO	746
NC_021684.1	Gnomon	exon	553098	553460	260	NO	362
NC_021684.1	Gnomon	intron	553461	554229	261	NO	768
NC_021684.1	Gnomon	exon	554230	554349	262	NO	119
NC_021684.1	Gnomon	intron	554350	554965	263	NO	615
NC_021684.1	Gnomon	exon	554966	555084	264	NO	118
NC_021684.1	Gnomon	intron	555085	555421	265	NO	336
NC_021684.1	Gnomon	exon	555422	555600	266	NO	178
NC_021684.1	Gnomon	intron	555601	555886	267	NO	285
NC_021684.1	Gnomon	exon	555887	555960	268	NO	73
NC_021684.1	Gnomon	intron	555961	557030	269	NO	1069
NC_021684.1	Gnomon	exon	557031	557188	270	NO	157
NC_021684.1	Gnomon	intron	557189	561298	271	NO	4109
NC_021684.1	Gnomon	exon	561299	561576	272	NO	277
NC_021684.1	Gnomon	intron	561577	562535	273	NO	958
NC_021684.1	Gnomon	exon	562536	562631	274	NO	95
NC_021684.1	Gnomon	intron	562632	563511	275	NO	879
NC_021684.1	Gnomon	exon	563512	563621	276	NO	109
NC_021684.1	Gnomon	intron	563622	564898	277	NO	1276
NC_021684.1	Gnomon	exon	564899	565160	278	NO	261
NC_021684.1	Gnomon	intron	565161	566606	279	NO	1445
NC_021684.1	Gnomon	exon	566607	567076	280	NO	469
NC_021696.1	Gnomon	non_coding	567077	701527	NA	NA	134450
NC_021684.1	Gnomon	exon	701528	702008	282	NO	480
NC_021684.1	Gnomon	intron	702009	702431	283	NO	422
NC_021684.1	Gnomon	exon	702432	702516	284	NO	84
NC_021684.1	Gnomon	intron	702517	702663	285	NO	146
NC_021684.1	Gnomon	exon	702664	702794	286	NO	130
NC_021684.1	Gnomon	intron	702795	702914	287	NO	119
NC_021684.1	Gnomon	exon	702915	703214	288	NO	299
NC_021696.1	Gnomon	non_coding	703215	726252	NA	NA	23037
NC_021684.1	Gnomon	exon	726253	726425	290	NO	172
NC_021684.1	Gnomon	intron	726426	726775	291	NO	349
NC_021684.1	Gnomon	exon	726776	726846	292	NO	70
NC_021684.1	Gnomon	intron	726847	737009	293	NO	10162
NC_021684.1	Gnomon	exon	737010	737102	294	NO	92
NC_021684.1	Gnomon	intron	737103	738777	295	NO	1674
NC_021684.1	Gnomon	exon	738778	739283	296	NO	505
NC_021684.1	Gnomon	intron	739284	739764	297	NO	480
NC_021684.1	Gnomon	exon	739765	739936	298	NO	171
NC_021684.1	Gnomon	intron	739937	740609	299	NO	672
NC_021684.1	Gnomon	exon	740610	740690	300	NO	80
NC_021684.1	Gnomon	intron	740691	740912	301	NO	221
NC_021684.1	Gnomon	exon	740913	741031	302	NO	118
NC_021684.1	Gnomon	intron	741032	741781	303	NO	749
NC_021684.1	Gnomon	exon	741782	741919	304	NO	137
NC_021684.1	Gnomon	intron	741920	742590	305	NO	670
NC_021684.1	Gnomon	exon	742591	743795	306	NO	1204
NC_021684.1	Gnomon	intron	743796	744517	307	NO	721
NC_021684.1	Gnomon	exon	744518	744703	308	NO	185
NC_021684.1	Gnomon	intron	744704	745432	309	NO	728
NC_021684.1	Gnomon	exon	745433	745543	310	NO	110
NC_021684.1	Gnomon	intron	745544	746332	311	NO	788
NC_021684.1	Gnomon	exon	746333	747068	312	NO	735
NC_021696.1	Gnomon	non_coding	747069	809257	NA	NA	62188
NC_021684.1	Gnomon	exon	809258	809431	314	NO	173
NC_021684.1	Gnomon	intron	809432	815069	315	NO	5637
NC_021684.1	Gnomon	exon	815070	815192	316	NO	122
NC_021684.1	Gnomon	intron	815193	815605	317	NO	412
NC_021684.1	Gnomon	exon	815606	815832	318	NO	226
NC_021684.1	Gnomon	intron	815833	829552	319	NO	13719
NC_021684.1	Gnomon	exon	829553	829824	320	NO	271
NC_021684.1	Gnomon	intron	829825	850875	321	NO	21050
NC_021684.1	Gnomon	exon	850876	852494	322	NO	1618
NC_021696.1	Gnomon	non_coding	852495	988412	NA	NA	135917
NC_021684.1	Gnomon	exon	988413	990185	324	NO	1772
NC_021684.1	Gnomon	intron	990186	993974	325	NO	3788
NC_021684.1	Gnomon	exon	993975	994098	326	NO	123
NC_021684.1	Gnomon	intron	994099	996586	327	NO	2487
NC_021684.1	Gnomon	exon	996587	996715	328	NO	128
NC_021684.1	Gnomon	intron	996716	997685	329	NO	969
NC_021684.1	Gnomon	exon	997686	997802	330	NO	116
NC_021684.1	Gnomon	intron	997803	998398	331	NO	595
NC_021684.1	Gnomon	exon	998399	998524	332	NO	125
NC_021684.1	Gnomon	intron	998525	999788	333	NO	1263
NC_021684.1	Gnomon	exon	999789	999917	334	NO	128
NC_021684.1	Gnomon	intron	999918	1003488	335	NO	3570
NC_021684.1	Gnomon	exon	1003489	1003632	336	NO	143
NC_021684.1	Gnomon	intron	1003633	1003921	337	NO	288
NC_021684.1	Gnomon	exon	1003922	1004059	338	NO	137
NC_021684.1	Gnomon	intron	1004060	1005162	339	NO	1102
NC_021684.1	Gnomon	exon	1005163	1005297	340	NO	134
NC_021684.1	Gnomon	intron	1005298	1010704	341	NO	5406
NC_021684.1	Gnomon	exon	1010705	1010845	342	NO	140
NC_021684.1	Gnomon	intron	1010846	1012338	343	NO	1492
NC_021684.1	Gnomon	exon	1012339	1012440	344	NO	101
NC_021684.1	Gnomon	intron	1012441	1012906	345	NO	465
NC_021684.1	Gnomon	exon	1012907	1013020	346	NO	113
NC_021684.1	Gnomon	intron	1013021	1014990	347	NO	1969
NC_021684.1	Gnomon	exon	1014991	1015197	348	NO	206
NC_021684.1	Gnomon	intron	1015198	1017326	349	NO	2128
NC_021684.1	Gnomon	exon	1017327	1017513	350	NO	186
NC_021684.1	Gnomon	intron	1017514	1021679	351	NO	4165
NC_021684.1	Gnomon	exon	1021680	1021809	352	NO	129
NC_021684.1	Gnomon	intron	1021810	1027090	353	NO	5280
NC_021684.1	Gnomon	exon	1027091	1027202	354	NO	111
NC_021684.1	Gnomon	intron	1027203	1062430	355	NO	35227
NC_021684.1	Gnomon	exon	1062431	1062937	356	NO	506
NC_021684.1	Gnomon	intron	1062938	1065676	357	NO	2738
NC_021684.1	Gnomon	exon	1065677	1066606	358	NO	929
NC_021684.1	Gnomon	intron	1066607	1081846	359	NO	15239
NC_021684.1	Gnomon	exon	1081847	1081975	360	NO	128
NC_021696.1	Gnomon	non_coding	1081976	1169570	NA	NA	87594
NC_021684.1	Gnomon	exon	1169571	1171756	362	NO	2185
NC_021684.1	Gnomon	intron	1171757	1174826	363	NO	3069
NC_021684.1	Gnomon	exon	1174827	1175005	364	NO	178
NC_021684.1	Gnomon	intron	1175006	1177793	365	NO	2787
NC_021684.1	Gnomon	exon	1177794	1177890	366	NO	96
NC_021684.1	Gnomon	intron	1177891	1179748	367	NO	1857
NC_021684.1	Gnomon	exon	1179749	1179811	368	NO	62
NC_021684.1	Gnomon	intron	1179812	1181058	369	NO	1246
NC_021684.1	Gnomon	exon	1181059	1181135	370	NO	76
NC_021684.1	Gnomon	intron	1181136	1181282	371	NO	146
NC_021684.1	Gnomon	exon	1181283	1181325	372	NO	42
NC_021684.1	Gnomon	intron	1181326	1183398	373	NO	2072
NC_021684.1	Gnomon	exon	1183399	1183515	374	NO	116
NC_021684.1	Gnomon	intron	1183516	1187497	375	NO	3981
NC_021684.1	Gnomon	exon	1187498	1187640	376	NO	142
NC_021684.1	Gnomon	intron	1187641	1189673	377	NO	2032
NC_021684.1	Gnomon	exon	1189674	1189822	378	NO	148
NC_021684.1	Gnomon	intron	1189823	1189919	379	NO	96
NC_021684.1	Gnomon	exon	1189920	1190430	380	NO	510
NC_021696.1	Gnomon	non_coding	1190431	1214787	NA	NA	24356
NC_021684.1	Gnomon	exon	1214788	1214945	382	NO	157
NC_021684.1	Gnomon	intron	1214946	1223198	383	NO	8252
NC_021684.1	Gnomon	exon	1223199	1223232	384	NO	33
NC_021684.1	Gnomon	intron	1223233	1223340	385	NO	107
NC_021684.1	Gnomon	exon	1223341	1223443	386	NO	102
NC_021684.1	Gnomon	intron	1223444	1225317	387	NO	1873
NC_021684.1	Gnomon	exon	1225318	1225449	388	NO	131
NC_021684.1	Gnomon	intron	1225450	1226258	389	NO	808
NC_021684.1	Gnomon	exon	1226259	1226355	390	NO	96
NC_021684.1	Gnomon	intron	1226356	1227828	391	NO	1472
NC_021684.1	Gnomon	exon	1227829	1227979	392	NO	150
NC_021684.1	Gnomon	intron	1227980	1228279	393	NO	299
NC_021684.1	Gnomon	exon	1228280	1228412	394	NO	132
NC_021684.1	Gnomon	intron	1228413	1229159	395	NO	746
NC_021684.1	Gnomon	exon	1229160	1229318	396	NO	158
NC_021684.1	Gnomon	intron	1229319	1229808	397	NO	489
NC_021684.1	Gnomon	exon	1229809	1229877	398	NO	68
NC_021684.1	Gnomon	intron	1229878	1230171	399	NO	293
NC_021684.1	Gnomon	exon	1230172	1230278	400	NO	106
NC_021684.1	Gnomon	intron	1230279	1231249	401	NO	970
NC_021684.1	Gnomon	exon	1231250	1231390	402	NO	140
NC_021684.1	Gnomon	intron	1231391	1232698	403	NO	1307
NC_021684.1	Gnomon	exon	1232699	1232836	404	NO	137
NC_021684.1	Gnomon	intron	1232837	1235533	405	NO	2696
NC_021684.1	Gnomon	exon	1235534	1235689	406	NO	155
NC_021684.1	Gnomon	intron	1235690	1236985	407	NO	1295
NC_021684.1	Gnomon	exon	1236986	1237184	408	NO	198
NC_021684.1	Gnomon	intron	1237185	1237741	409	NO	556
NC_021684.1	Gnomon	exon	1237742	1237887	410	NO	145
NC_021684.1	Gnomon	intron	1237888	1238999	411	NO	1111
NC_021684.1	Gnomon	exon	1239000	1239221	412	NO	221
NC_021684.1	Gnomon	intron	1239222	1240476	413	NO	1254
NC_021684.1	Gnomon	exon	1240477	1240650	414	NO	173
NC_021684.1	Gnomon	intron	1240651	1241640	415	NO	989
NC_021684.1	Gnomon	exon	1241641	1241833	416	NO	192
NC_021684.1	Gnomon	intron	1241834	1242102	417	NO	268
NC_021684.1	Gnomon	exon	1242103	1242209	418	NO	106
NC_021684.1	Gnomon	intron	1242210	1244404	419	NO	2194
NC_021684.1	Gnomon	exon	1244405	1244509	420	NO	104
NC_021684.1	Gnomon	intron	1244510	1244638	421	NO	128
NC_021684.1	Gnomon	exon	1244639	1244740	422	NO	101
NC_021684.1	Gnomon	intron	1244741	1247406	423	NO	2665
NC_021684.1	Gnomon	exon	1247407	1247535	424	NO	128
NC_021684.1	Gnomon	intron	1247536	1248203	425	NO	667
NC_021684.1	Gnomon	exon	1248204	1248331	426	NO	127
NC_021684.1	Gnomon	intron	1248332	1248861	427	NO	529
NC_021684.1	Gnomon	exon	1248862	1248997	428	NO	135
NC_021684.1	Gnomon	intron	1248998	1249292	429	NO	294
NC_021684.1	Gnomon	exon	1249293	1249355	430	NO	62
NC_021684.1	Gnomon	intron	1249356	1250232	431	NO	876
NC_021684.1	Gnomon	exon	1250233	1250412	432	NO	179
NC_021684.1	Gnomon	intron	1250413	1252055	433	NO	1642
NC_021684.1	Gnomon	exon	1252056	1252136	434	NO	80
NC_021684.1	Gnomon	intron	1252137	1252361	435	NO	224
NC_021684.1	Gnomon	exon	1252362	1252493	436	NO	131
NC_021684.1	Gnomon	intron	1252494	1252664	437	NO	170
NC_021684.1	Gnomon	exon	1252665	1252823	438	NO	158
NC_021684.1	Gnomon	intron	1252824	1253346	439	NO	522
NC_021684.1	Gnomon	exon	1253347	1253438	440	NO	91
NC_021684.1	Gnomon	intron	1253439	1254072	441	NO	633
NC_021684.1	Gnomon	exon	1254073	1254247	442	NO	174
NC_021684.1	Gnomon	intron	1254248	1257312	443	NO	3064
NC_021684.1	Gnomon	exon	1257313	1257488	444	NO	175
NC_021684.1	Gnomon	intron	1257489	1260087	445	NO	2598
NC_021684.1	Gnomon	exon	1260088	1260305	446	NO	217
NC_021684.1	Gnomon	intron	1260306	1260784	447	NO	478
NC_021684.1	Gnomon	exon	1260785	1260921	448	NO	136
NC_021684.1	Gnomon	intron	1260922	1261638	449	NO	716
NC_021684.1	Gnomon	exon	1261639	1261762	450	NO	123
